freq                    ,Gain                    ,Phase                   
1258.925412,23.63835062,-15.21643705
1288.249552,23.88724117,-16.47933212
1318.256739,24.14911366,-17.88886874
1348.962883,24.42396051,-19.46636848
1380.384265,24.71142933,-21.23652546
1412.537545,25.01066807,-23.22777967
1445.439771,25.32011483,-25.47257043
1479.108388,25.63721902,-28.00732225
1513.561248,25.95808377,-30.87192314
1548.816619,26.27703119,-34.10833094
1584.893192,26.58611897,-37.75780667
1621.810097,26.87468885,-41.85618835
1659.586907,27.12910733,-46.42673053
1698.243652,27.33295576,-51.47058213
1737.800829,27.46798278,-56.95618969
1778.27941,27.51604243,-62.81069684
1819.700859,27.46189968,-68.91786678
1862.087137,27.29623931,-75.12648727
1905.460718,27.01779397,-81.26947123
1949.8446,26.63365599,-87.18840245
1995.262315,26.15762598,-92.75506523
2041.737945,25.60734847,-97.88330634
2089.296131,25.00134892,-102.5298173
2137.96209,24.35679826,-106.6869981
2187.761624,23.68827582,-110.3725541
2238.721139,23.00738179,-113.619439
2290.867653,22.32289184,-116.4679315
2344.228815,21.64117191,-118.9602099
2398.832919,20.96666351,-121.1370552
2454.708916,20.30233802,-123.0361019
2511.886432,19.65007861,-124.6910972
2570.395783,19.01098211,-126.1317646
2630.267992,18.38558856,-127.3839955
2691.534804,17.77405133,-128.470198
2754.228703,17.17626113,-129.4097012
2818.382931,16.59193512,-130.2191588
2884.031503,16.02068036,-130.9129247
2951.209227,15.46203858,-131.5033888
3019.95172,14.9155174,-132.0012695
3090.295433,14.38061187,-132.4158647
3162.27766,13.85681911,-132.755266
3235.936569,13.343648,-133.0265394
3311.311215,12.8406254,-133.2358781
3388.441561,12.3472999,-133.3887309
3467.368505,11.86324385,-133.4899108
3548.133892,11.38805417,-133.5436861
3630.780548,10.9213524,-133.5538577
3715.352291,10.46278415,-133.5238243
3801.893963,10.01201816,-133.4566379
3890.45145,9.568745231,-133.3550504
3981.071706,9.13267695,-133.2215537
4073.802778,8.703544364,-133.0584142
4168.693835,8.281096658,-132.8677015
4265.795188,7.86509984,-132.6513135
4365.158322,7.455335461,-132.4109981
4466.835922,7.051599389,-132.1483715
4570.881896,6.653700638,-131.8649338
4677.351413,6.26146027,-131.5620833
4786.300923,5.87471035,-131.2411278
4897.788194,5.493292977,-130.903295
5011.872336,5.117059382,-130.5497413
5128.61384,4.745869075,-130.1815594
5248.074602,4.379589072,-129.799785
